fips,county,gini_index,share_same_house_1_year_ago,share_moved_within_same_county,share_moved_diff_county_same_state,share_moved_diff_state,share_moved_from_abroad,share_drive_commute,share_public_transit_commute,share_bike_commute,share_walk_commute,share_other_commute,share_5min_commute,share_5to10_commute,share_10to14_commute,share_15to19_commute,share_20to24_commute,share_25to29_commute,share_30to34_commute,share_35to39_commute,share_40to44_commute,share_45to59_commute,share_60to89_commute,share_90plus_commute,share_married_with_own_children,share_married_with_no_own_children,share_single_man_with_own_children,share_single_man_with_no_own_children,share_single_woman_with_own_children,share_single_woman_with_no_own_children,median_household_income,total_housing_units,share_vacant,share_owner_occupied,share_renter_occupied,average_household_size,share_sfh_detached,share_sfh_attached,share_duplex,share_3to4_units,share_5to9_units,share_10to19_units,share_20to49_units,share_50plus_units,share_mobile_homes,share_boat_rv_van,median_year_structure_built,median_contract_rent,median_gross_rent,median_utilities,rent_burden,median_property_value,median_real_estate_taxes_paid,median_monthly_housing_costs
21193,"Perry County, Kentucky",0.5076,0.866681221,0.095549976,0.032456428,0.004766583,0.000545792,0.925616879,0.003456908,0,0.004768149,0.041006079,0.057593544,0.151137197,0.193323551,0.16275373,0.143311323,0.047688921,0.097945708,0.015284911,0.019931524,0.055637075,0.024578136,0.03081438,0.27718183,0.425638988,0.033637929,0.045821745,0.117335452,0.100384055,31578,12794,0.134516179,0.733217891,0.266782109,2.45,0.557448804,0.0124277,0.027512897,0.0238393,0.02720025,0.016179459,0.008675942,0.006252931,0.319837424,0.000625293,1981,391,572,181,24.8,72800,484,466
21199,"Pulaski County, Kentucky",0.5063,0.872587789,0.080528314,0.02863018,0.017810819,0.000442898,0.951736655,0.001650029,0,0.016541539,0.012746473,0.038955587,0.157333557,0.209260348,0.199059693,0.133070271,0.061203929,0.084417765,0.023507682,0.012425489,0.030098229,0.025144824,0.025522626,0.239469027,0.47699115,0.028377581,0.03740413,0.12100295,0.096755162,34673,31189,0.180255859,0.697671824,0.302328176,2.45,0.65026131,0.011189843,0.034691718,0.048125942,0.035365033,0.011606656,0.006027766,0.001923755,0.200743852,6.41E-05,1984,439,613,174,32.7,109100,716,606
21051,"Clay County, Kentucky",0.5069,0.879892168,0.082847928,0.020025995,0.016511818,0.000722091,0.935293063,0.001075462,0.003584872,0.02742427,0.012188564,0.045745654,0.122232388,0.129002745,0.136688015,0.111070448,0.024702653,0.136688015,0.019030192,0.053979872,0.107776761,0.068435499,0.044647758,0.264080567,0.413278627,0.021447221,0.057441253,0.114509511,0.12924282,22174,8850,0.132316384,0.726486931,0.273513069,2.53,0.618079096,0.005084746,0.02259887,0.019096045,0.017966102,0.006327684,0.003502825,0.002485876,0.301129944,0.003728814,1988,356,483,127,37.8,54500,464,397
21001,"Adair County, Kentucky",0.4495,0.886091253,0.038635408,0.050042052,0.023864592,0.001366695,0.929449018,0.002406586,0.00050665,0.025332489,0.007093097,0.077064461,0.135092556,0.177760273,0.145857949,0.15780491,0.047262702,0.107916503,0.012209531,0.024550348,0.049363266,0.031245897,0.033871603,0.266923389,0.533846777,0.02290231,0.027766518,0.067288204,0.081272801,33873,8505,0.162139918,0.773746296,0.226253704,2.51,0.707701352,0.004703116,0.015049971,0.021751911,0.019988242,0.008818342,0.007524985,0.006466784,0.207407407,0.000587889,1983,359,499,140,30.2,86100,605,468
9003,"Hartford County, Connecticut",0.4712,0.876467534,0.079356892,0.017733434,0.018691663,0.007750477,0.8956168,0.034111795,0.002347607,0.02108465,0.008901537,0.028308987,0.09303853,0.155291935,0.175225681,0.180185147,0.070806027,0.137251847,0.028462398,0.033258865,0.052315296,0.029795149,0.016060137,0.283661741,0.423830711,0.028665007,0.041253951,0.121899112,0.100689479,68027,374672,0.073304117,0.673827855,0.326172145,2.5,0.550905859,0.058675321,0.078818273,0.096254858,0.065641414,0.047452171,0.04053679,0.056582824,0.004884272,0.000248217,1963,863,1016,153,30,234900,5035,1257
9011,"New London County, Connecticut",0.4413,0.858222796,0.077060892,0.022667587,0.03826894,0.003779786,0.885170537,0.015213406,0.003312597,0.038033516,0.010219252,0.028482836,0.121262433,0.160146773,0.1674627,0.176984777,0.069391376,0.105705665,0.021022865,0.031052887,0.05170427,0.048861293,0.017922125,0.262128371,0.469102904,0.03953964,0.040735192,0.116112584,0.072381309,67574,121426,0.125640308,0.69632007,0.30367993,2.44,0.648180785,0.041556174,0.075338066,0.068708514,0.054197618,0.031904205,0.026501738,0.029244149,0.023940507,0.000428244,1969,890,1039,149,29.8,241500,4227,1242
9013,"Tolland County, Connecticut",0.418,0.854745159,0.047627255,0.067440458,0.026150246,0.004036882,0.883169605,0.019335112,0.001600416,0.044499382,0.006492746,0.02463081,0.094436271,0.123031442,0.12613754,0.14289412,0.08525421,0.158029535,0.041155795,0.059955861,0.081862024,0.043989428,0.018622963,0.305592188,0.497123937,0.025898594,0.029518224,0.083616263,0.058250793,80129,58574,0.068306757,0.774974736,0.225025264,2.48,0.700071704,0.040273842,0.045890668,0.06600198,0.060282719,0.031157169,0.022620958,0.022723393,0.010755625,0.000221941,1974,898,1061,163,30.8,247800,5133,1351
9001,"Fairfield County, Connecticut",0.5444,0.878314074,0.075645533,0.008629286,0.027131962,0.010279145,0.8025668,0.101676865,0.002797685,0.027420369,0.008761861,0.021944894,0.093172674,0.150490839,0.158206835,0.132363455,0.049037641,0.114997258,0.021986539,0.03271721,0.072909798,0.092978328,0.059194529,0.350530068,0.412691863,0.02648215,0.033671681,0.093064017,0.083560222,86670,364737,0.080956964,0.696724908,0.303275092,2.75,0.578509995,0.069121038,0.087317711,0.081954943,0.044966647,0.033583102,0.033596811,0.06715798,0.003698555,9.32E-05,1964,1184,1385,201,32.2,413400,7057,1827
12031,"Duval County, Florida",0.4719,0.804791249,0.130772615,0.025762078,0.031382097,0.007291961,0.897862542,0.019384702,0.006128342,0.015295982,0.013625908,0.01419403,0.075169154,0.115534826,0.176141791,0.209604478,0.083106965,0.171579602,0.028843284,0.029577114,0.053450249,0.026402985,0.016395522,0.248237976,0.421520625,0.031766195,0.042819428,0.139246086,0.11640969,49196,396150,0.136927931,0.597924908,0.402075092,2.58,0.607406285,0.050367285,0.019866212,0.042582355,0.058394548,0.084866843,0.051793513,0.039442131,0.044934999,0.000345829,1983,796,962,166,31.8,146400,1476,1001
12007,"Bradford County, Florida",0.456,0.858562092,0.036489262,0.088253968,0.016619981,7.47E-05,0.941028995,0.001526052,0.000218007,0.031066056,0.008066274,0.045293073,0.138654529,0.11634103,0.10901421,0.088587922,0.015763766,0.111123446,0.01731794,0.061167851,0.113787744,0.12955151,0.05339698,0.240275813,0.465523338,0.02033239,0.043140028,0.118104668,0.112623762,43373,10901,0.201541143,0.716892464,0.283107536,2.71,0.59040455,0.008439593,0.005871021,0.015227961,0.030639391,0.011099899,0.016695716,0.003761123,0.312815338,0.005045409,1983,549,734,185,32.7,92000,757,613
