Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY026003,"Alger County, MI",26003,42.08836833,48.42787948,36.35118883,41.07464426,44.763341,57.82901997,60.88165073,56.13036299
RACEDISPARITY019005,"Allamakee County, IA",19005,51.09067712,54.9131671,52.10816815,56.34082724,57.50572811,66.35627813,66.34180986,71.37948008
RACEDISPARITY026005,"Allegan County, MI",26005,37.48516939,41.75000853,42.12092546,40.49036956,43.8773285,43.78525455,41.38454566,45.88099531
RACEDISPARITY024001,"Allegany County, MD",24001,53.69908316,47.89988906,50.80230458,52.73500647,51.06659631,48.61833439,48.62439783,51.47243852
RACEDISPARITY036003,"Allegany County, NY",36003,35.16865391,28.82800281,38.72172913,35.2400995,35.89085551,38.69292978,36.82635357,40.53685181
RACEDISPARITY051005,"Alleghany County, VA",51005,51.4448342,28.83348458,24.94117705,26.19919269,23.94776596,25.0514894,34.65429951,38.54511453
RACEDISPARITY037005,"Alleghany County, NC",37005,42.58810474,39.0113835,6.46638312,21.47439257,23.27680188,25.1080965,32.55204878,28.26868008
RACEDISPARITY042003,"Allegheny County, PA",42003,55.30506962,54.28397929,53.55255558,53.67051537,52.01070191,50.91967302,50.59099158,49.94032539
RACEDISPARITY022003,"Allen Parish, LA",22003,23.84317893,24.02648815,25.31558615,27.58844879,31.97694515,34.28730405,34.98611877,32.82374308
RACEDISPARITY021003,"Allen County, KY",21003,23.66185363,13.40659727,14.17072438,14.43668944,30.79787825,18.73217778,24.78548347,18.77315533
RACEDISPARITY020001,"Allen County, KS",20001,27.27469226,25.03524194,32.12116343,34.26765064,26.79163369,19.71238503,24.54650834,24.31350911
RACEDISPARITY039003,"Allen County, OH",39003,46.44432835,47.23636822,47.79165964,45.89024168,43.54673285,44.53053645,44.36418638,42.87368758
RACEDISPARITY018003,"Allen County, IN",18003,51.92169411,50.40375091,50.27191937,49.64953077,49.39667832,48.81818715,49.05726672,49.41321253
RACEDISPARITY045005,"Allendale County, SC",45005,8.464821777,16.70605512,30.7597718,24.54190616,21.85691235,27.93723204,25.8191316,22.57525159
RACEDISPARITY026007,"Alpena County, MI",26007,27.45690853,22.69781839,16.27819311,14.534874,17.28674454,19.67615166,23.10765261,21.02140068
RACEDISPARITY006003,"Alpine County, CA",6003,0,0,0,0,0,0,0,
RACEDISPARITY006005,"Amador County, CA",6005,39.7974242,39.62868971,36.18074952,33.95379765,32.53635015,29.28877274,30.37163656,28.91714931
RACEDISPARITY051007,"Amelia County, VA",51007,1.205819801,0.951810442,2.588984746,4.804109682,3.321734458,4.707549038,9.344990733,6.547783414
RACEDISPARITY051009,"Amherst County, VA",51009,23.08030518,15.12291012,21.52060226,16.01792832,13.62414127,15.03119271,14.001626,14.54325176
RACEDISPARITY028005,"Amite County, MS",28005,10.97052683,6.270580331,8.257704008,10.80260774,15.2321413,19.38071228,12.33923885,15.69270562
RACEDISPARITY002020,"Anchorage Muny, AK",2020,29.28342236,29.01456799,28.38301293,29.95860243,30.50632536,29.87456203,28.69316672,28.51959683
RACEDISPARITY045007,"Anderson County, SC",45007,37.62523608,35.92620414,36.70043604,35.91062407,36.48455569,36.83887969,37.36909098,33.9399895
RACEDISPARITY020003,"Anderson County, KS",20003,18.17512738,25.69012632,26.70608326,26.4200497,23.02413031,28.38123008,8.725963287,9.53105756
RACEDISPARITY048001,"Anderson County, TX",48001,47.08814215,45.62918398,38.00717201,38.97949584,40.54686474,40.93525627,40.19408258,39.70976783
RACEDISPARITY021005,"Anderson County, KY",21005,19.35027566,33.07050051,27.14223539,21.6296879,25.77100695,16.11190996,15.32442944,12.59760746
RACEDISPARITY047001,"Anderson County, TN",47001,51.07739527,52.50018259,51.44689438,50.36990804,50.85692343,51.07668459,49.18061061,47.99257776
RACEDISPARITY029003,"Andrew County, MO",29003,21.01405771,29.39293613,28.55676322,15.44407751,17.55504649,18.99266608,22.64370036,26.9263256
RACEDISPARITY048003,"Andrews County, TX",48003,10.04403254,13.71566274,11.47945261,14.57903001,23.44719309,19.69000794,15.23111257,17.78356889
RACEDISPARITY023001,"Androscoggin County, ME",23001,38.63308408,33.34855764,39.10011771,42.24515363,39.01293961,45.60757919,41.66614406,38.94597755
RACEDISPARITY048005,"Angelina County, TX",48005,39.64391844,41.48272863,39.74040125,39.96848395,40.99041157,43.2056603,42.78964785,38.94773003
RACEDISPARITY024003,"Anne Arundel County, MD",24003,40.42494741,42.22840131,41.76423081,42.7510611,41.879895,41.80386506,42.60235764,43.17940938
RACEDISPARITY027003,"Anoka County, MN",27003,31.83575622,31.26364815,30.78026811,31.26145049,32.59958857,33.62514059,33.52321341,32.58136438
RACEDISPARITY037007,"Anson County, NC",37007,18.53424335,18.62549633,19.97687413,23.47959415,22.23489316,24.76864012,23.37476185,23.81770281
RACEDISPARITY031003,"Antelope County, NE",31003,22.6468269,25.9837311,27.01715185,23.34438776,25.97878607,12.70709752,20.82789319,24.80257889
RACEDISPARITY026009,"Antrim County, MI",26009,16.20474733,22.33372788,11.51566368,12.62940737,16.93275272,18.11926025,22.80415136,26.4674238
RACEDISPARITY004001,"Apache County, AZ",4001,36.006609,29.79737377,24.62774247,24.28758201,26.96043364,30.99916978,31.54686314,23.26055793
RACEDISPARITY019007,"Appanoose County, IA",19007,24.07360117,28.32683975,43.68917004,45.03199902,51.99557645,54.83289298,45.71181695,34.42835451
RACEDISPARITY013001,"Appling County, GA",13001,37.40972804,36.36696229,32.14508514,25.93992891,33.21227873,30.47885043,36.32746063,30.59289686
RACEDISPARITY051011,"Appomattox County, VA",51011,6.562065591,7.240149223,11.69718889,7.852840994,8.25516998,2.873847877,4.710464748,2.994084173
RACEDISPARITY048007,"Aransas County, TX",48007,19.07911271,21.77571966,19.07347848,19.88375411,22.61552405,23.62706684,20.39023991,20.84916423
RACEDISPARITY008005,"Arapahoe County, CO",8005,36.90430852,37.93701589,37.53353537,37.61395268,38.56508807,38.80389061,38.81108675,38.80107644
