fips,county,gini_index,share_same_house_1_year_ago,share_moved_within_same_county,share_moved_diff_county_same_state,share_moved_diff_state,share_moved_from_abroad,share_drive_commute,share_public_transit_commute,share_bike_commute,share_walk_commute,share_other_commute,share_5min_commute,share_5to10_commute,share_10to14_commute,share_15to19_commute,share_20to24_commute,share_25to29_commute,share_30to34_commute,share_35to39_commute,share_40to44_commute,share_45to59_commute,share_60to89_commute,share_90plus_commute,share_married_with_own_children,share_married_with_no_own_children,share_single_man_with_own_children,share_single_man_with_no_own_children,share_single_woman_with_own_children,share_single_woman_with_no_own_children,median_household_income,total_housing_units,share_vacant,share_owner_occupied,share_renter_occupied,average_household_size,share_sfh_detached,share_sfh_attached,share_duplex,share_3to4_units,share_5to9_units,share_10to19_units,share_20to49_units,share_50plus_units,share_mobile_homes,share_boat_rv_van,median_year_structure_built,median_contract_rent,median_gross_rent,median_utilities,rent_burden,median_property_value,median_real_estate_taxes_paid,median_monthly_housing_costs
56037,"Sweetwater County, Wyoming",0.3674,0.808799604,0.112187876,0.016387258,0.057272877,0.005352385,0.919561916,0.029543049,0.001012379,0.025677603,0.005199945,0.085045501,0.221409138,0.228539263,0.133924383,0.065250023,0.027957595,0.056055915,0.017590768,0.020170748,0.05516465,0.042827657,0.046064359,0.374702886,0.43573854,0.043123939,0.027504244,0.08820034,0.030730051,72096,18436,0.109459753,0.733402363,0.266597637,2.59,0.575287481,0.039487958,0.034877414,0.028856585,0.023106965,0.022727273,0.034063788,0.007268388,0.234324148,0,1977,737,851,114,20.3,180300,1046,867
56031,"Platte County, Wyoming",0.4041,0.880809249,0.067630058,0.038959538,0.011560694,0.001040462,0.836759667,0.006852668,0.010768478,0.057023984,0.002202643,0.155371015,0.304848647,0.180551835,0.108223949,0.068041789,0.033753014,0.036163943,0.004018216,0.001875167,0.014733458,0.038842754,0.053576212,0.265060241,0.567511425,0.017864562,0.010386373,0.119235563,0.019941836,46171,4665,0.218220793,0.781190019,0.218809981,2.35,0.712111468,0.014790997,0.007717042,0.02829582,0.009646302,0.013933548,0.003215434,0,0.210289389,0,1972,412,547,135,24.1,136100,681,577
56033,"Sheridan County, Wyoming",0.4046,0.84077759,0.080828394,0.039197008,0.037327124,0.001869884,0.902950153,0,0.007663615,0.036147847,0.008002713,0.08673107,0.23021736,0.239806791,0.147322063,0.097385992,0.037221196,0.067978406,0.013993465,0.012075579,0.025500781,0.017616139,0.024151158,0.290543207,0.522425358,0.049191109,0.021570433,0.075364988,0.040904906,51667,13815,0.111979732,0.696446038,0.303553962,2.27,0.733188563,0.034020992,0.022222222,0.0446616,0.034889613,0.011364459,0.012667391,0.00810713,0.098878031,0,1974,606,728,122,25.7,224900,1336,810
56003,"Big Horn County, Wyoming",0.3946,0.862992126,0.057742782,0.024671916,0.05135608,0.003237095,0.857880643,0,0.01013772,0.047054323,0.007077276,0.199751089,0.218419415,0.1717486,0.098942128,0.078614395,0.02945447,0.049989629,0.017838623,0.007259905,0.031736154,0.051649035,0.044596557,0.340386941,0.533555018,0.025695284,0.021160822,0.042019347,0.037182588,52597,5360,0.139552239,0.760190807,0.239809193,2.47,0.782835821,0.007276119,0.02630597,0.016044776,0.016791045,0.007462687,0.001679104,0,0.141604478,0,1970,396,549,153,19.4,120400,758,603
56011,"Crook County, Wyoming",0.3529,0.889905549,0.0385183,0.025383707,0.046044864,0.00014758,0.78092939,0.006940253,0.008449004,0.104707302,0.011466506,0.183531746,0.194775132,0.079695767,0.051256614,0.072420635,0.037037037,0.154431217,0.028439153,0.025793651,0.083994709,0.06712963,0.021494709,0.270418327,0.576693227,0.009462151,0.014940239,0.10059761,0.027888446,49757,3563,0.187763121,0.748445059,0.251554941,2.36,0.691832725,0.001122649,0.003087286,0.008139209,0.015155768,0.004209935,0,0,0.276452428,0,1979,552,640,88,17.2,156300,714,611
56029,"Park County, Wyoming",0.4371,0.81335882,0.09398781,0.02099037,0.0667941,0.0048689,0.861935846,0,0.002877799,0.054116656,0.007650733,0.11627907,0.252632376,0.244754185,0.110067419,0.089614423,0.02143777,0.073024771,0.008862965,0.010453754,0.028785698,0.0165139,0.027573669,0.259095058,0.593036902,0.02047203,0.009910027,0.081236146,0.036249837,50105,13444,0.11678072,0.709954522,0.290045478,2.29,0.724933056,0.032951503,0.040984826,0.030794406,0.022463553,0.005429932,0.007438262,0.001487652,0.133368045,0.000148765,1977,519,669,150,22.1,203000,1334,741
56001,"Albany County, Wyoming",0.4846,0.699392253,0.129274111,0.067391798,0.09278087,0.011160968,0.774840568,0.013166015,0.060018515,0.085579099,0.013628883,0.096427408,0.300684113,0.332609404,0.108155066,0.054349006,0.010641763,0.041209686,0.000108589,0.00852427,0.026061462,0.014768162,0.006461071,0.295669073,0.511937812,0.045252637,0.03137146,0.070238756,0.045530261,45760,17809,0.175529227,0.537083702,0.462916298,2.24,0.507833118,0.059408164,0.062552642,0.096524229,0.071312258,0.060811949,0.027289573,0.010219552,0.103318547,0.000729968,1974,629,689,60,33.7,194900,1260,773
56007,"Carbon County, Wyoming",0.3792,0.801007231,0.088520145,0.036415289,0.073734504,0.000322831,0.893120871,0.005052468,0.001425055,0.048192771,0.015805156,0.196020436,0.285560635,0.180962624,0.088330196,0.037644528,0.013175585,0.026485614,0.008470019,0.040467868,0.075423501,0.031325625,0.016133369,0.304061986,0.503639352,0.03709791,0.029349613,0.087814041,0.038037098,58655,8546,0.272525158,0.743445392,0.256554608,2.35,0.734729698,0.015211795,0.015445823,0.030540604,0.027264217,0.013807629,0.021998596,0.001053124,0.137491224,0.00245729,1973,546,694,148,19.9,139200,708,760
56015,"Goshen County, Wyoming",0.4155,0.821923107,0.072870736,0.034424074,0.069931152,0.000850932,0.826006192,0.00619195,0.005727554,0.037925697,0.013467492,0.123063534,0.275718016,0.188337685,0.145343777,0.057441253,0.022454308,0.052393386,0.023498695,0.008529156,0.046475196,0.023846823,0.032898172,0.232394366,0.601525822,0.041666667,0.019366197,0.065434272,0.039612676,42126,5979,0.11590567,0.691449111,0.308550889,2.34,0.801304566,0.016390701,0.016557953,0.026425824,0.005519318,0.011874895,0.010369627,0,0.108881084,0.002676033,1967,422,582,160,26.4,132400,837,592
56041,"Uinta County, Wyoming",0.3979,0.841328774,0.090180752,0.007278945,0.060674157,0.000537372,0.884322829,0.032105107,0.001876914,0.040501828,0.007211301,0.156150936,0.294610901,0.192044176,0.07444524,0.03793844,0.004192658,0.039779119,0.007669496,0.013702833,0.064014725,0.050516413,0.064935065,0.379831611,0.439150402,0.030042097,0.017221584,0.094336012,0.039418293,59851,8653,0.160406795,0.763799036,0.236200964,2.82,0.595862707,0.059516931,0.013752456,0.031087484,0.053738588,0.018028429,0.028082746,0.002080203,0.197850456,0,1981,520,601,81,26.9,178300,895,743
