Year,State_FIPS,County_FIPS,Region,Division,County_name,new_1_units,new_2_units,new_3to4_units,new_5_units,total_new_units
2000,13,21,South,South Atlantic,Bibb County                   ,553,0,0,241,794
2000,13,23,South,South Atlantic,Bleckley County               ,37,0,0,9,46
2000,13,25,South,South Atlantic,Brantley County               ,3,0,0,0,3
2000,13,27,South,South Atlantic,Brooks County                 ,41,0,0,0,41
2000,13,29,South,South Atlantic,Bryan County                  ,341,0,0,0,341
2000,13,31,South,South Atlantic,Bulloch County                ,256,6,0,264,526
2000,13,33,South,South Atlantic,Burke County                  ,38,4,0,0,42
2000,13,35,South,South Atlantic,Butts County                  ,279,2,0,24,305
2000,13,37,South,South Atlantic,Calhoun County                ,2,0,0,0,2
2000,13,39,South,South Atlantic,Camden County                 ,452,38,0,22,512
2000,13,43,South,South Atlantic,Candler County                ,2,0,0,0,2
2000,13,45,South,South Atlantic,Carroll County                ,1650,12,111,83,1856
2000,13,47,South,South Atlantic,Catoosa County                ,410,0,24,66,500
2000,13,49,South,South Atlantic,Charlton County               ,17,0,0,0,17
2000,13,51,South,South Atlantic,Chatham County                ,1236,46,8,632,1922
2000,13,53,South,South Atlantic,Chattahoochee County          ,4,0,0,0,4
2000,13,55,South,South Atlantic,Chattooga County              ,9,0,0,0,9
2000,13,57,South,South Atlantic,Cherokee County               ,2882,6,3,885,3776
2000,13,59,South,South Atlantic,Clarke County                 ,536,122,4,301,963
2000,13,61,South,South Atlantic,Clay County                   ,0,0,0,0,0
2000,13,63,South,South Atlantic,Clayton County                ,2323,0,0,1024,3347
2000,13,65,South,South Atlantic,Clinch County                 ,0,0,0,0,0
2000,13,67,South,South Atlantic,Cobb County                   ,5455,4,24,1159,6642
2000,13,69,South,South Atlantic,Coffee County                 ,118,2,6,0,126
2000,13,71,South,South Atlantic,Colquitt County               ,9,0,0,0,9
2000,13,73,South,South Atlantic,Columbia County               ,939,4,0,0,943
2000,13,75,South,South Atlantic,Cook County                   ,37,0,0,0,37
2000,13,77,South,South Atlantic,Coweta County                 ,1240,30,0,9,1279
2000,13,79,South,South Atlantic,Crawford County               ,54,2,0,40,96
2000,13,81,South,South Atlantic,Crisp County                  ,70,6,12,0,88
2000,13,83,South,South Atlantic,Dade County                   ,9,0,0,0,9
2000,13,85,South,South Atlantic,Dawson County                 ,282,0,0,0,282
2000,13,87,South,South Atlantic,Decatur County                ,84,0,0,10,94
2000,13,89,South,South Atlantic,DeKalb County                 ,4266,0,0,1879,6145
2000,13,91,South,South Atlantic,Dodge County                  ,41,0,0,0,41
2000,13,93,South,South Atlantic,Dooly County                  ,0,0,0,0,0
2000,13,95,South,South Atlantic,Dougherty County              ,187,16,0,193,396
2000,13,97,South,South Atlantic,Douglas County                ,890,4,7,0,901
2000,13,99,South,South Atlantic,Early County                  ,5,0,0,0,5
2000,13,103,South,South Atlantic,Effingham County              ,399,46,0,0,445
2000,13,105,South,South Atlantic,Elbert County                 ,4,0,0,10,14
